Name,Price,Time,Location,Product,Etat,Livraison
Tablette Atouch kt10,50 000 CFA,3 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
iPhone 13Pro Max -256Go,375 000 CFA,3 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
iPhone 11 -128Go,195 000 CFA,3 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Honda X-ADV 2023,4 800 000 CFA,3 heures,"Dakar Plateau, Dakar, Sénégal",Motos & Scooters,,
Nissan Qashqai 2009,3 200 000 CFA,3 heures,"Guediawaye, Dakar, Sénégal",Voitures,,
Citroen C4 2017,6 300 000 CFA,3 heures,"Fass, Dakar, Sénégal",Voitures,,
Kia Sportage 2023,24 000 000 CFA,3 heures,"Fass, Dakar, Sénégal",Voitures,Produit neuf,
Renault Kangoo 2019,6 000 000 CFA,3 heures,"Fass, Dakar, Sénégal",Voitures,,
Realme C53 -256Go,85 000 CFA,3 heures,"Mermoz-Sacré Coeur, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Location appartements 3pièces -Mermoz,310 000 CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",Appartements,"Mermoz-Sacré Coeur, Dakar, Sénégal",,
Lacoste homme,6 500 CFA,3 heures,"Dakar Plateau, Dakar, Sénégal",Vêtements Homme,,disponible
Voile,18 000 CFA,3 heures,"Dakar Plateau, Dakar, Sénégal",Tissus & Foulards,,disponible
PC HP Elitbook 745 g5 ryzen 3 processeur,165 000 CFA,3 heures,"Dakar, Sénégal",Ordinateurs,Produit neuf,disponible
PC HP Spectre pro x360,160 000 CFA,3 heures,"Dakar Plateau, Dakar, Sénégal",Ordinateurs,Produit neuf,disponible
Hyundai Tucson 2019,13 300 000 CFA,3 heures,"Mermoz-Sacré Coeur, Dakar, Sénégal",Voitures,,
Vente immeubles - Mariste,330 000 000 CFA,3 heures,"Mariste, Dakar, Sénégal",Immeubles,,
Chaussures homme,10 000 CFA,3 heures,"Dakar Plateau, Dakar, Sénégal",Chaussures Homme,,disponible
Ford Escape 2017,5 500 000 CFA,3 heures,"Parcelle Assainies, Dakar, Sénégal",Voitures,,
Renault Megane 2014,3 750 000 CFA,3 heures,"Fass, Dakar, Sénégal",Voitures,,
PC HP Elitbook 745 g5 ryzen 3 processeur,165 000 CFA,3 heures,"Dakar, Sénégal",Ordinateurs,Produit neuf,disponible
PC HP Spectre pro x360,160 000 CFA,3 heures,"Dakar Plateau, Dakar, Sénégal",Ordinateurs,Produit neuf,disponible
Hyundai Tucson 2019,13 300 000 CFA,3 heures,"Mermoz-Sacré Coeur, Dakar, Sénégal",Voitures,,
Vente immeubles - Mariste,330 000 000 CFA,3 heures,"Mariste, Dakar, Sénégal",Immeubles,,
Chaussures homme,10 000 CFA,3 heures,"Dakar Plateau, Dakar, Sénégal",Chaussures Homme,,disponible
Ford Escape 2017,5 500 000 CFA,3 heures,"Parcelle Assainies, Dakar, Sénégal",Voitures,,
Renault Megane 2014,3 750 000 CFA,3 heures,"Fass, Dakar, Sénégal",Voitures,,
Jeep Compass 2010,2 800 000 CFA,3 heures,"Fass, Dakar, Sénégal",Voitures,,
Hyundai Tucson 2018,11 000 000 CFA,3 heures,"Grand Yoff, Dakar, Sénégal",Voitures,,
M-horse -128Go,65 000 CFA,3 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
PC Lenovo yoga,115 000 CFA,3 heures,"Dakar Plateau, Dakar, Sénégal",Ordinateurs,Produit neuf,disponible
Hyundai Santa Fe 2018,12 500 000 CFA,3 heures,"Grand Yoff, Dakar, Sénégal",Voitures,,
Ford Explorer 2021,250 000 003 CFA,3 heures,"Mermoz-Sacré Coeur, Dakar, Sénégal",Voitures,,
Jeep Grand Cherokee 2018,13 800 000 CFA,3 heures,"Mermoz-Sacré Coeur, Dakar, Sénégal",Voitures,,
Coffret couteau 7 pièces /  ensemble couteau 7 en 1,9 500 CFA,3 heures,"HLM, Dakar, Sénégal",Vaisselle,Produit neuf,disponible
Kia Sportage 2019,8 000 000 CFA,3 heures,"Patte d'oie, Dakar, Sénégal",Voitures,,
Lacoste homme,6 500 CFA,3 heures,"Dakar Plateau, Dakar, Sénégal",Vêtements Homme,,disponible
Chaussures homme,13 000 CFA,3 heures,"Dakar Plateau, Dakar, Sénégal",Chaussures Homme,,disponible
Chaussures homme,18 000 CFA,3 heures,"Dakar Plateau, Dakar, Sénégal",Chaussures Homme,,disponible
Getzner super manium gold,12 000 CFA,3 heures,"Dakar Plateau, Dakar, Sénégal",Tissus & Foulards,,disponible
Hyundai Avante 2017,6 700 000 CFA,3 heures,"Ouest Foire, Dakar, Sénégal",Voitures,,
Ensemble homme,13 000 CFA,3 heures,"Dakar Plateau, Dakar, Sénégal",Vêtements Homme,,disponible
Ford Mondeo 2013,3 500 000 CFA,3 heures,"Parcelle Assainies, Dakar, Sénégal",Voitures,,
Sous-vêtements coton,4 500 CFA,3 heures,"Dakar Plateau, Dakar, Sénégal",Vêtements Homme,Produit neuf,disponible
Sac en cuir,20 000 CFA,3 heures,"Parcelle Assainies, Dakar, Sénégal",Maroquinerie & Bagagerie,Produit neuf,disponible
Chaussures Zara,30 000 CFA,3 heures,"Parcelle Assainies, Dakar, Sénégal",Chaussures Homme,Produit neuf,disponible
Chaussures Berluti,25 000 CFA,3 heures,"Parcelle Assainies, Dakar, Sénégal",Chaussures Homme,Produit neuf,disponible
Machine à laver Roch 7kg a+++,164 900 CFA,3 heures,"Ouakam, Dakar, Sénégal",Machine à laver vaisselles & linges,Produit neuf,disponible
Hyundai Sonata 2015,4 900 000 CFA,3 heures,"Dieuppeul-Derklé, Dakar, Sénégal",Voitures,,
ipad pro 3th Gen,460 000 CFA,3 heures,"Medina, Dakar, Sénégal",Téléphones & Tablettes,,disponible
Ipad air 4th Gen,230 000 CFA,3 heures,"Medina, Dakar, Sénégal",Téléphones & Tablettes,,disponible
Culotte,6 500 CFA,3 heures,"Dakar Plateau, Dakar, Sénégal",Vêtements Homme,,disponible
Mitsubishi Outlander 2015,4 950 000 CFA,3 heures,"Fass, Dakar, Sénégal",Voitures,,
Kaki,7 000 CFA,3 heures,"Dakar Plateau, Dakar, Sénégal",Vêtements Homme,,disponible
Vente villa 4 pièces - Tivaouane Peulh,Prix sur demande,3 heures,"Keur Massar, Sénégal",Villas,,
Kia Forte 2015,3 700 000 CFA,3 heures,"Fass, Dakar, Sénégal",Voitures,,
Hyundai Elantra 2016,4 700 000 CFA,3 heures,"Dieuppeul-Derklé, Dakar, Sénégal",Voitures,,
huawei Mate 3 -512Go,775 000 CFA,3 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
salon,450 CFA,3 heures,"Medina, Dakar, Sénégal",Meubles,Produit neuf,disponible
Nissan Qashqai 2017,8 800 000 CFA,4 heures,"Grand Yoff, Dakar, Sénégal",Voitures,,
Samsung Galaxy S24 ultra -256Go,655 000 CFA,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,"Dakar Plateau, Dakar, Sénégal",Produit neuf,disponible
Getzner super manium gold,12 000 CFA,4 heures,"Dakar Plateau, Dakar, Sénégal",Tissus & Foulards,,disponible
Brodé,16 000 CFA,4 heures,"Dakar Plateau, Dakar, Sénégal",Tissus & Foulards,,disponible
Jean homme,7 000 CFA,4 heures,"Dakar Plateau, Dakar, Sénégal",Vêtements Homme,,disponible
Getzner super manium gold original,12 000 CFA,4 heures,"Dakar Plateau, Dakar, Sénégal",Tissus & Foulards,,disponible
Toyota Land Cruiser 2016,39 000 000 CFA,4 heures,"Colobane, Dakar, Sénégal",Voitures,,
Brodé,Prix sur demande,4 heures,"Dakar Plateau, Dakar, Sénégal",Tissus & Foulards,,disponible
Chaussures cuir,20 000 CFA,4 heures,"Dakar Plateau, Dakar, Sénégal",Chaussures Homme,,disponible
Gétzner super manium gold,12 000 CFA,4 heures,"Dakar Plateau, Dakar, Sénégal",Tissus & Foulards,,disponible
Getzner super manium gold,12 000 CFA,4 heures,"Dakar Plateau, Dakar, Sénégal",Tissus & Foulards,,disponible
PC Dell l’attitude 5420,220 000 CFA,4 heures,"Dakar Plateau, Dakar, Sénégal",Ordinateurs,Produit neuf,disponible
PC Lenovo yoga,115 000 CFA,4 heures,"Dakar Plateau, Dakar, Sénégal",Ordinateurs,Produit neuf,disponible
Huawei P30 Pro - 256Gb,85 000 CFA,4 heures,"Colobane, Dakar, Sénégal",Téléphones & Tablettes,,disponible
Huawei Mate X6 -256Go,950 000 CFA,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,"Dakar Plateau, Dakar, Sénégal",Produit neuf,disponible
Mazda 5 2015,3 300 000 CFA,4 heures,"Fass, Dakar, Sénégal",Voitures,,
Hyundai Santa Fe Sport 2016,10 900 000 CFA,4 heures,"Colobane, Dakar, Sénégal",Voitures,,
Kia Sorento ex 2018,11 500 000 CFA,4 heures,"Ouest Foire, Dakar, Sénégal",Voitures,Produit neuf,
Ford Escape SE 2019,6 700 000 CFA,4 heures,"Ouest Foire, Dakar, Sénégal",Voitures,Produit neuf,
Location villa 6pièces -Sipres 1,500 000 CFA,4 heures,"Sipres, Dakar, Sénégal",Villas,,
Redmi Note 13 Pro -256Gb,145 000 CFA,4 heures,"Mermoz-Sacré Coeur, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Renault SM3 2017,6 700 000 CFA,4 heures,"Ouest Foire, Dakar, Sénégal",Voitures,,
Brodé,22 000 CFA,4 heures,"Dakar Plateau, Dakar, Sénégal",Tissus & Foulards,,disponible
Cotonade,5 000 CFA,4 heures,"Dakar Plateau, Dakar, Sénégal",Tissus & Foulards,,disponible
Getzner super manium gold,12 000 CFA,4 heures,"Dakar Plateau, Dakar, Sénégal",Tissus & Foulards,,disponible
iPhone 12Pro -128Go,185 000 CFA,4 heures,"Medina, Dakar, Sénégal",Téléphones & Tablettes,,disponible
Hyundai Santa Fe Sport 2017,8 800 000 CFA,4 heures,"Ouest Foire, Dakar, Sénégal",Voitures,,
Ipad mini 6th -64Go,220 000 CFA,4 heures,"Medina, Dakar, Sénégal",Téléphones & Tablettes,,disponible
Samsung Galaxy Fold 5 -512Go,550 000 CFA,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,"Dakar Plateau, Dakar, Sénégal",Produit neuf,disponible
Kia Sportage 2016,6 500 000 CFA,4 heures,"Grand Yoff, Dakar, Sénégal",Voitures,,
Samsung Galaxy Fold 6 -256Go,755 000 CFA,4 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Toyota Rav4 2016,8 800 000 CFA,4 heures,"Guediawaye, Dakar, Sénégal",Voitures,,
Tableau PVC compact,25 000 CFA,4 heures,"Ouakam, Dakar, Sénégal",Décoration & luminaires,,disponible
Hyundai Tucson evgt 2016,8 000 000 CFA,4 heures,"Dieuppeul-Derklé, Dakar, Sénégal",Voitures,,
Terrains 10101m² - Lac rose,304 000 000 CFA,4 heures,"Dakar, Sénégal",Terrains,,
Samsung Galaxy S23 ultra -256Go,380 000 CFA,4 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
iPhone 16Pro Max -256Go,730 000 CFA,4 heures,"Medina, Dakar, Sénégal",Téléphones & Tablettes,,
Citroen Jumpy 2016,5 300 000 CFA,4 heures,"Fass, Dakar, Sénégal",Voitures,,
iPhone 15Pro Max -256Go,580 000 CFA,4 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
iPhone 15 - 256Go,340 000 CFA,4 heures,"Medina, Dakar, Sénégal",Téléphones & Tablettes,,
Toyota Fortuner 2015,8 200 000 CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",Voitures,"Mermoz-Sacré Coeur, Dakar, Sénégal",,
Sandales orthopédique,17 000 CFA,4 heures,"Mermoz-Sacré Coeur, Dakar, Sénégal",Chaussures Homme,Produit neuf,
Mazda CX-5 2017,11 900 000 CFA,4 heures,"Mermoz-Sacré Coeur, Dakar, Sénégal",Voitures,,
Peugeot 3008 2022,17 500 000 CFA,4 heures,"Colobane, Dakar, Sénégal",Voitures,,
PC Macbook air m2,450 000 CFA,4 heures,"Medina, Dakar, Sénégal",Ordinateurs,,disponible
